date,regime,regime_score,regime_confidence,fed_policy_score,usd_liquidity_score,rates_pressure_score,risk_appetite_score,stablecoin_liquidity_score,btc_market_score,macro_liquidity_score,score_coverage_ratio,primary_driver,secondary_driver,risk_level,allowed_actions,forbidden_actions,reason,previous_regime,regime_changed,regime_duration_days
2017-11-29,neutral,50.0,0.0,,,,,,,,0.0,mixed,none,medium,"observe, collect data, avoid strong assumptions",avoid overfitting weak signals,neutral: macro_liquidity_score=n/a; usd_liquidity_score=n/a; risk_appetite_score=n/a; rates_pressure_score=n/a; stablecoin_liquidity_score=n/a; btc_market_score=n/a; net_liquidity_change_30d=n/a; net_liquidity_change_90d=n/a; transmission_phase=neutral,,True,1
2017-11-30,neutral,50.0,0.0,,,,,,,,0.0,mixed,none,medium,"observe, collect data, avoid strong assumptions",avoid overfitting weak signals,neutral: macro_liquidity_score=n/a; usd_liquidity_score=n/a; risk_appetite_score=n/a; rates_pressure_score=n/a; stablecoin_liquidity_score=n/a; btc_market_score=n/a; net_liquidity_change_30d=n/a; net_liquidity_change_90d=n/a; transmission_phase=neutral,neutral,False,2
2017-12-01,neutral,50.0,0.0,,,,,,,,0.0,mixed,none,medium,"observe, collect data, avoid strong assumptions",avoid overfitting weak signals,neutral: macro_liquidity_score=n/a; usd_liquidity_score=n/a; risk_appetite_score=n/a; rates_pressure_score=n/a; stablecoin_liquidity_score=n/a; btc_market_score=n/a; net_liquidity_change_30d=n/a; net_liquidity_change_90d=n/a; transmission_phase=neutral,neutral,False,3
2017-12-02,neutral,50.0,0.0,,,,,,,,0.0,mixed,none,medium,"observe, collect data, avoid strong assumptions",avoid overfitting weak signals,neutral: macro_liquidity_score=n/a; usd_liquidity_score=n/a; risk_appetite_score=n/a; rates_pressure_score=n/a; stablecoin_liquidity_score=n/a; btc_market_score=n/a; net_liquidity_change_30d=n/a; net_liquidity_change_90d=n/a; transmission_phase=neutral,neutral,False,4
2017-12-03,neutral,50.0,0.0,,,,,,,,0.0,mixed,none,medium,"observe, collect data, avoid strong assumptions",avoid overfitting weak signals,neutral: macro_liquidity_score=n/a; usd_liquidity_score=n/a; risk_appetite_score=n/a; rates_pressure_score=n/a; stablecoin_liquidity_score=n/a; btc_market_score=n/a; net_liquidity_change_30d=n/a; net_liquidity_change_90d=n/a; transmission_phase=neutral,neutral,False,5
2017-12-04,neutral,50.0,0.0,,,,,,,,0.0,mixed,none,medium,"observe, collect data, avoid strong assumptions",avoid overfitting weak signals,neutral: macro_liquidity_score=n/a; usd_liquidity_score=n/a; risk_appetite_score=n/a; rates_pressure_score=n/a; stablecoin_liquidity_score=n/a; btc_market_score=n/a; net_liquidity_change_30d=n/a; net_liquidity_change_90d=n/a; transmission_phase=neutral,neutral,False,6
2017-12-05,neutral,50.0,0.0,,,,,,,,0.0,mixed,none,medium,"observe, collect data, avoid strong assumptions",avoid overfitting weak signals,neutral: macro_liquidity_score=n/a; usd_liquidity_score=n/a; risk_appetite_score=n/a; rates_pressure_score=n/a; stablecoin_liquidity_score=n/a; btc_market_score=n/a; net_liquidity_change_30d=n/a; net_liquidity_change_90d=n/a; transmission_phase=neutral,neutral,False,7
2017-12-06,neutral,50.0,0.0,,,,,,,,0.0,mixed,none,medium,"observe, collect data, avoid strong assumptions",avoid overfitting weak signals,neutral: macro_liquidity_score=n/a; usd_liquidity_score=n/a; risk_appetite_score=n/a; rates_pressure_score=n/a; stablecoin_liquidity_score=n/a; btc_market_score=n/a; net_liquidity_change_30d=n/a; net_liquidity_change_90d=n/a; transmission_phase=neutral,neutral,False,8
2017-12-07,neutral,50.0,0.0,,,,,,,,0.0,mixed,none,medium,"observe, collect data, avoid strong assumptions",avoid overfitting weak signals,neutral: macro_liquidity_score=n/a; usd_liquidity_score=n/a; risk_appetite_score=n/a; rates_pressure_score=n/a; stablecoin_liquidity_score=n/a; btc_market_score=n/a; net_liquidity_change_30d=n/a; net_liquidity_change_90d=n/a; transmission_phase=neutral,neutral,False,9
2017-12-08,neutral,50.0,0.0,,,,,,,,0.0,mixed,none,medium,"observe, collect data, avoid strong assumptions",avoid overfitting weak signals,neutral: macro_liquidity_score=n/a; usd_liquidity_score=n/a; risk_appetite_score=n/a; rates_pressure_score=n/a; stablecoin_liquidity_score=n/a; btc_market_score=n/a; net_liquidity_change_30d=n/a; net_liquidity_change_90d=n/a; transmission_phase=neutral,neutral,False,10
