date,total_stablecoin_supply,total_stablecoin_supply_change_7d,total_stablecoin_supply_change_30d,total_stablecoin_supply_change_90d,total_stablecoin_supply_pct_change_30d,total_stablecoin_supply_pct_change_90d,total_stablecoin_supply_zscore_252d,total_stablecoin_supply_slope_30d,total_stablecoin_supply_slope_90d,usdt_supply,usdc_supply,usdt_supply_change_30d,usdt_supply_change_90d,usdc_supply_change_30d,usdc_supply_change_90d,usdt_dominance,usdc_dominance,usdt_history_available,usdc_history_available,stablecoin_liquidity_score
2017-11-29,109970.0,,,,,,,,,,,,,,,,,False,False,
2017-11-30,109970.0,,,,,,,,,,,,,,,,,False,False,
2017-12-01,109970.0,,,,,,,,,,,,,,,,,False,False,
2017-12-02,109970.0,,,,,,,,,,,,,,,,,False,False,
2017-12-03,109970.0,,,,,,,,,,,,,,,,,False,False,
2017-12-04,109970.0,,,,,,,,,,,,,,,,,False,False,
2017-12-05,109970.0,,,,,,,,,,,,,,,,,False,False,
2017-12-06,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-07,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-08,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-09,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-10,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-11,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-12,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-13,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-14,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-15,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-16,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-17,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-18,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-19,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-20,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-21,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-22,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-23,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-24,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-25,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-26,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-27,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-28,109970.0,0.0,,,,,,,,,,,,,,,,False,False,
2017-12-29,109970.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,False,False,
2017-12-30,109970.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,False,False,
2017-12-31,109970.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,False,False,
2018-01-01,109970.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,False,False,
2018-01-02,109970.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,False,False,
2018-01-03,109970.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,False,False,
2018-01-04,109970.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,False,False,
2018-01-05,109970.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,False,False,
2018-01-06,109970.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,False,False,
2018-01-07,109970.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,False,False,
2018-01-08,109970.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,False,False,
2018-01-09,109970.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,False,False,
2018-01-10,109970.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,False,False,
2018-01-11,30109970.0,30000000.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-12,30109970.0,30000000.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-13,30109970.0,30000000.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-14,30109970.0,30000000.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-15,30109970.0,30000000.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-16,30109970.0,30000000.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-17,30109970.0,30000000.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-18,30109970.0,0.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-19,30109970.0,0.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-20,30109970.0,0.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-21,30109970.0,0.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-22,30109970.0,0.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-23,30109970.0,0.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-24,30109970.0,0.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-25,30109970.0,0.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-26,30109970.0,0.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-27,30109970.0,0.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-28,30109970.0,0.0,30000000.0,,272.80167318359554,,,30000000.0,,,,,,,,,,False,False,
2018-01-29,60109970.0,30000000.0,60000000.0,,545.6033463671911,,,60000000.0,,,,,,,,,,False,False,
2018-01-30,60109970.0,30000000.0,60000000.0,,545.6033463671911,,,60000000.0,,,,,,,,,,False,False,
2018-01-31,60109970.0,30000000.0,60000000.0,,545.6033463671911,,,60000000.0,,,,,,,,,,False,False,
2018-02-01,60109970.0,30000000.0,60000000.0,,545.6033463671911,,,60000000.0,,,,,,,,,,False,False,
2018-02-02,60109970.0,30000000.0,60000000.0,,545.6033463671911,,,60000000.0,,,,,,,,,,False,False,
2018-02-03,60109970.0,30000000.0,60000000.0,,545.6033463671911,,,60000000.0,,,,,,,,,,False,False,
2018-02-04,60109970.0,30000000.0,60000000.0,,545.6033463671911,,,60000000.0,,,,,,,,,,False,False,
2018-02-05,60109970.0,0.0,60000000.0,,545.6033463671911,,,60000000.0,,,,,,,,,,False,False,
2018-02-06,60109970.0,0.0,60000000.0,,545.6033463671911,,,60000000.0,,,,,,,,,,False,False,
2018-02-07,60109970.0,0.0,60000000.0,,545.6033463671911,,,60000000.0,,,,,,,,,,False,False,
2018-02-08,60109970.0,0.0,60000000.0,,545.6033463671911,,,60000000.0,,,,,,,,,,False,False,
2018-02-09,60109970.0,0.0,60000000.0,,545.6033463671911,,,60000000.0,,,,,,,,,,False,False,
2018-02-10,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-11,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-12,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-13,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-14,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-15,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-16,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-17,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-18,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-19,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-20,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-21,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-22,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-23,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-24,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-25,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-26,60109970.0,0.0,30000000.0,,0.996347721369367,,,30000000.0,,,,,,,,,,False,False,
2018-02-27,60109970.0,0.0,30000000.0,60000000.0,0.996347721369367,545.6033463671911,,30000000.0,60000000.0,,,,,,,,,False,False,
2018-02-28,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-01,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-02,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-03,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-04,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-05,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-06,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-07,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-08,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-09,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-10,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-11,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-12,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-13,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-14,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-15,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-16,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-17,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-18,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-19,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-20,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-21,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-22,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-23,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
2018-03-24,60109970.0,0.0,0.0,60000000.0,0.0,545.6033463671911,,0.0,60000000.0,,,,,,,,,False,False,
