date,btc_price,btc_market_cap,btc_volume,btc_return_7d,btc_return_30d,btc_return_90d,btc_return_180d,btc_forward_return_30d,btc_forward_return_90d,btc_forward_return_180d,stablecoin_to_btc_mcap,btc_to_stablecoin_ratio,stablecoin_supply_growth_30d,stablecoin_supply_growth_90d,net_liquidity_growth_30d,net_liquidity_growth_90d,liquidity_transmission_gap_30d,liquidity_transmission_gap_90d,stablecoin_btc_growth_gap_30d,stablecoin_btc_growth_gap_90d,net_liquidity_btc_growth_gap_30d,net_liquidity_btc_growth_gap_90d,stablecoin_to_btc_mcap_zscore_252d,btc_to_stablecoin_ratio_zscore_252d,liquidity_transmission_gap_30d_zscore_252d,liquidity_transmission_gap_90d_zscore_252d,transmission_phase
2017-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
2017-12-29,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,neutral
2017-12-30,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,neutral
2017-12-31,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,neutral
2018-01-01,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,neutral
2018-01-02,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,neutral
2018-01-03,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,neutral
2018-01-04,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,neutral
2018-01-05,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,neutral
2018-01-06,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,neutral
2018-01-07,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,neutral
2018-01-08,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,neutral
2018-01-09,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,neutral
2018-01-10,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,neutral
2018-01-11,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-12,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-13,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-14,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-15,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-16,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-17,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-18,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-19,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-20,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-21,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-22,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-23,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-24,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-25,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-26,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-27,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-28,,,,,,,,,,,,,272.80167318359554,,,,,,,,,,,,,,neutral
2018-01-29,,,,,,,,,,,,,545.6033463671911,,,,,,,,,,,,,,neutral
2018-01-30,,,,,,,,,,,,,545.6033463671911,,,,,,,,,,,,,,neutral
2018-01-31,,,,,,,,,,,,,545.6033463671911,,,,,,,,,,,,,,neutral
2018-02-01,,,,,,,,,,,,,545.6033463671911,,,,,,,,,,,,,,neutral
2018-02-02,,,,,,,,,,,,,545.6033463671911,,,,,,,,,,,,,,neutral
2018-02-03,,,,,,,,,,,,,545.6033463671911,,,,,,,,,,,,,,neutral
2018-02-04,,,,,,,,,,,,,545.6033463671911,,,,,,,,,,,,,,neutral
2018-02-05,,,,,,,,,,,,,545.6033463671911,,,,,,,,,,,,,,neutral
2018-02-06,,,,,,,,,,,,,545.6033463671911,,,,,,,,,,,,,,neutral
