date,walcl_billion,rrp_billion,tga_billion,usd_liquidity_proxy_no_tga,net_liquidity,net_liquidity_change_7d,net_liquidity_change_30d,net_liquidity_change_90d,net_liquidity_pct_change_30d,net_liquidity_pct_change_90d,net_liquidity_zscore_252d,net_liquidity_slope_30d,net_liquidity_slope_90d,tga_billion_change_7d,tga_billion_change_30d,tga_billion_change_90d,tga_billion_pct_change_30d,tga_billion_pct_change_90d,tga_billion_zscore_252d,tga_billion_slope_30d,tga_billion_slope_90d
2020-01-01,4173.626,,,,,,,,,,,,,,,,,,,,
2020-01-02,4173.626,3.1,382.335,4170.526,3788.1910000000003,,,,,,,,,,,,,,,,
2020-01-03,4173.626,4.251,363.919,4169.375,3805.456,,,,,,,,,,,,,,,,
2020-01-04,4173.626,4.251,363.919,4169.375,3805.456,,,,,,,,,,,,,,,,
2020-01-05,4173.626,4.251,363.919,4169.375,3805.456,,,,,,,,,,,,,,,,
2020-01-06,4173.626,3.825,378.421,4169.801,3791.3800000000006,,,,,,,,,,,,,,,,
2020-01-07,4173.626,1.602,365.66,4172.024,3806.3640000000005,,,,,,,,,,,,,,,,
2020-01-08,4149.544,0.876,350.84,4148.668,3797.8279999999995,,,,,,,,,,,,,,,,
2020-01-09,4149.544,0.401,343.421,4149.143,3805.722,17.53099999999995,,,,,,,,-38.91399999999999,,,,,,,
2020-01-10,4149.544,0.627,342.514,4148.9169999999995,3806.403,0.9469999999996617,,,,,,,,-21.404999999999973,,,,,,,
2020-01-11,4149.544,0.627,342.514,4148.9169999999995,3806.403,0.9469999999996617,,,,,,,,-21.404999999999973,,,,,,,
2020-01-12,4149.544,0.627,342.514,4148.9169999999995,3806.403,0.9469999999996617,,,,,,,,-21.404999999999973,,,,,,,
2020-01-13,4149.544,1.0,357.137,4148.544,3791.4069999999997,0.02699999999913416,,,,,,,,-21.283999999999992,,,,,,,
2020-01-14,4149.544,0.656,348.006,4148.888,3800.882,-5.482000000000426,,,,,,,,-17.654000000000053,,,,,,,
2020-01-15,4175.85,0.675,380.802,4175.175,3794.373,-3.4549999999994725,,,,,,,,29.962000000000046,,,,,,,
2020-01-16,4175.85,0.3,395.791,4175.55,3779.759,-25.963000000000193,,,,,,,,52.370000000000005,,,,,,,
2020-01-17,4175.85,16.15,401.053,4159.700000000001,3758.6470000000004,-47.7559999999994,,,,,,,,58.53899999999999,,,,,,,
2020-01-18,4175.85,16.15,401.053,4159.700000000001,3758.6470000000004,-47.7559999999994,,,,,,,,58.53899999999999,,,,,,,
2020-01-19,4175.85,16.15,401.053,4159.700000000001,3758.6470000000004,-47.7559999999994,,,,,,,,58.53899999999999,,,,,,,
2020-01-20,4175.85,16.15,401.053,4159.700000000001,3758.6470000000004,-32.75999999999931,,,,,,,,43.916,,,,,,,
2020-01-21,4175.85,13.381,415.874,4162.469,3746.5950000000007,-54.28699999999935,,,,,,,,67.86800000000005,,,,,,,
2020-01-22,4145.912,15.604,411.708,4130.308,3718.6000000000004,-75.77299999999968,,,,,,,,30.906000000000006,,,,,,,
2020-01-23,4145.912,12.904,421.339,4133.008,3711.6690000000003,-68.08999999999969,,,,,,,,25.548000000000002,,,,,,,
2020-01-24,4145.912,0.0,424.554,4145.912,3721.358,-37.289000000000215,,,,,,,,23.500999999999976,,,,,,,
2020-01-25,4145.912,0.0,424.554,4145.912,3721.358,-37.289000000000215,,,,,,,,23.500999999999976,,,,,,,
2020-01-26,4145.912,0.0,424.554,4145.912,3721.358,-37.289000000000215,,,,,,,,23.500999999999976,,,,,,,
2020-01-27,4145.912,0.002,435.639,4145.91,3710.271,-48.376000000000204,,,,,,,,34.58600000000001,,,,,,,
2020-01-28,4145.912,0.002,443.253,4145.91,3702.657,-43.93800000000056,,,,,,,,27.378999999999962,,,,,,,
2020-01-29,4151.63,0.3,450.537,4151.33,3700.793,-17.807000000000244,,,,,,,,38.82899999999995,,,,,,,
2020-01-30,4151.63,4.14,445.933,4147.49,3701.5570000000002,-10.11200000000008,,,,,,,,24.593999999999994,,,,,,,
2020-01-31,4151.63,4.5,403.983,4147.13,3743.147,21.78899999999976,,,,,,,,-20.57099999999997,,,,,,,
2020-02-01,4151.63,4.5,403.983,4147.13,3743.147,21.78899999999976,-45.044000000000324,,-0.011890635926224524,,,-45.044000000000324,,-20.57099999999997,21.648000000000025,,0.056620502962062114,,,21.648000000000025,
2020-02-02,4151.63,4.5,403.983,4147.13,3743.147,21.78899999999976,-62.3090000000002,,-0.01637359622605028,,,-62.3090000000002,,-20.57099999999997,40.06400000000002,,0.11009043221156367,,,40.06400000000002,
2020-02-03,4151.63,6.16,401.01,4145.47,3744.46,34.18899999999985,-60.996000000000095,,-0.016028565302029563,,,-60.996000000000095,,-34.62900000000002,37.09100000000001,,0.10192103187797286,,,37.09100000000001,
2020-02-04,4151.63,2.112,417.779,4149.518,3731.739,29.08199999999988,-73.7170000000001,,-0.019371397278013514,,,-73.7170000000001,,-25.47399999999999,53.860000000000014,,0.14799996702562934,,,53.860000000000014,
2020-02-05,4166.707,4.112,416.585,4162.595,3746.01,45.2170000000001,-45.370000000000346,,-0.01196661901471241,,,-45.370000000000346,,-33.952,38.16399999999999,,0.10085063989577736,,,38.16399999999999,
2020-02-06,4166.707,0.403,410.904,4166.304,3755.4000000000005,53.8430000000003,-50.96399999999994,,-0.013389155635141536,,,-50.96399999999994,,-35.028999999999996,45.24399999999997,,0.12373242903243442,,,45.24399999999997,
2020-02-07,4166.707,1.1,405.658,4165.607,3759.9490000000005,16.80200000000059,-37.878999999998996,,-0.00997385874241774,,,-37.878999999998996,,1.6750000000000114,54.81800000000004,,0.15624786227340115,,,54.81800000000004,
2020-02-08,4166.707,1.1,405.658,4165.607,3759.9490000000005,16.80200000000059,-45.77299999999968,,-0.012027415560043497,,,-45.77299999999968,,1.6750000000000114,62.23700000000002,,0.18122654118414427,,,62.23700000000002,
2020-02-09,4166.707,1.1,405.658,4165.607,3759.9490000000005,16.80200000000059,-46.45399999999927,,-0.012204172810918679,,,-46.45399999999927,,1.6750000000000114,63.144000000000005,,0.18435450813689358,,,63.144000000000005,
2020-02-10,4166.707,0.83,414.251,4165.877,3751.626,7.166000000000167,-54.77699999999959,,-0.014390751583581607,,,-54.77699999999959,,13.240999999999985,71.73699999999997,,0.2094425337358472,,,71.73699999999997,
2020-02-11,4166.707,0.228,432.191,4166.479,3734.2880000000005,2.549000000000433,-72.11499999999933,,-0.018945708060864597,,,-72.11499999999933,,14.411999999999978,89.67699999999996,,0.26181995480476705,,,89.67699999999996,
2020-02-12,4182.689,0.309,404.341,4182.38,3778.039,32.028999999999996,-13.367999999999483,,-0.003525867837454455,,,-13.367999999999483,,-12.243999999999971,47.20400000000001,,0.1321733676432293,,,47.20400000000001,
2020-02-13,4182.689,0.45,425.468,4182.2390000000005,3756.7710000000006,1.3710000000000946,-44.11099999999942,,-0.011605464205413196,,,-44.11099999999942,,14.564000000000021,77.46200000000005,,0.22258811629684572,,,77.46200000000005,
2020-02-14,4182.689,0.0,427.327,4182.689,3755.362,-4.587000000000444,-39.01099999999997,,-0.010281277038393433,,,-39.01099999999997,,21.668999999999983,46.52499999999998,,0.1221763541157872,,,46.52499999999998,
2020-02-15,4182.689,0.0,427.327,4182.689,3755.362,-4.587000000000444,-24.396999999999935,,-0.006454644330498249,,,-24.396999999999935,,21.668999999999983,31.536,,0.07967841613376758,,,31.536,
2020-02-16,4182.689,0.0,427.327,4182.689,3755.362,-4.587000000000444,-3.2850000000003092,,-0.0008739847077952057,,,-3.2850000000003092,,21.668999999999983,26.274,,0.06551253824307501,,,26.274,
2020-02-17,4182.689,0.0,427.327,4182.689,3755.362,3.7359999999998763,-3.2850000000003092,,-0.0008739847077952057,,,-3.2850000000003092,,13.076000000000022,26.274,,0.06551253824307501,,,26.274,
2020-02-18,4182.689,9.454,445.806,4173.235000000001,3727.429,-6.859000000000378,-31.218000000000302,,-0.008305648282480482,,,-31.218000000000302,,13.615000000000009,44.752999999999986,,0.11158874263501328,,,44.752999999999986,
2020-02-19,4171.57,0.095,421.051,4171.474999999999,3750.424,-27.615000000000236,-8.223000000000411,,-0.002187755327914598,,,-8.223000000000411,,16.70999999999998,19.99799999999999,,0.04986373372097952,,,19.99799999999999,
2020-02-20,4171.57,3.6,443.494,4167.969999999999,3724.4759999999997,-32.29500000000098,-22.11900000000105,,-0.005903760614638376,,,-22.11900000000105,,18.02600000000001,27.620000000000005,,0.06641434665307289,,,27.620000000000005,
2020-02-21,4171.57,4.532,441.313,4167.038,3725.7249999999995,-29.637000000000626,7.1249999999990905,,0.0019160436723495433,,,7.1249999999990905,,13.98599999999999,29.60499999999996,,0.07190775986864462,,,29.60499999999996,
2020-02-22,4171.57,4.532,441.313,4167.038,3725.7249999999995,-29.637000000000626,14.05599999999913,,0.003786975616629329,,,14.05599999999913,,13.98599999999999,19.97399999999999,,0.047406007988816556,,,19.97399999999999,
2020-02-23,4171.57,4.532,441.313,4167.038,3725.7249999999995,-29.637000000000626,4.36699999999928,,0.0011734963419265387,,,4.36699999999928,,13.98599999999999,16.759000000000015,,0.03947436604059784,,,16.759000000000015,
2020-02-24,4171.57,0.592,450.799,4170.978,3720.1789999999996,-35.18300000000045,-1.179000000000542,,-0.0003168198276006784,,,-1.179000000000542,,23.47199999999998,26.245000000000005,,0.061817813517244025,,,26.245000000000005,
2020-02-25,4171.57,0.111,469.71,4171.459,3701.749,-25.68000000000029,-19.60900000000038,,-0.0052693129766070435,,,-19.60900000000038,,23.903999999999996,45.156000000000006,,0.10636102827908811,,,45.156000000000006,
2020-02-26,4158.637,2.3,387.615,4156.3369999999995,3768.7219999999998,18.297999999999774,58.45099999999957,,0.015753835771025848,,,58.45099999999957,,-33.43599999999998,-48.024,,-0.11023806408517145,,,-48.024,
2020-02-27,4158.637,0.275,378.164,4158.362,3780.198,55.72200000000021,77.54099999999971,,0.02094198841534589,,,77.54099999999971,,-65.33000000000004,-65.089,,-0.14684390178972284,,,-65.089,
2020-02-28,4158.637,2.187,357.251,4156.45,3799.1989999999996,73.47400000000016,98.4059999999995,,0.026590517221579235,,,98.4059999999995,,-84.06200000000001,-93.286,,-0.20705513642608708,,,-93.286,
2020-02-29,4158.637,2.187,357.251,4156.45,3799.1989999999996,73.47400000000016,97.64199999999937,,0.026378629317338476,,,97.64199999999937,,-84.06200000000001,-88.68200000000002,,-0.1988684398777395,,,-88.68200000000002,
2020-03-01,4158.637,2.187,357.251,4156.45,3799.1989999999996,73.47400000000016,56.05199999999968,,0.014974565519334293,,,56.05199999999968,,-84.06200000000001,-46.73200000000003,,-0.11567813497102608,,,-46.73200000000003,
2020-03-02,4158.637,2.525,403.798,4156.112,3752.314,32.13500000000022,9.166999999999916,,0.002449008815309739,,,9.166999999999916,,-47.000999999999976,-0.18500000000000227,,-0.00045794006183430547,,,-0.18500000000000227,
2020-03-03,4158.637,0.627,386.591,4158.009999999999,3771.419,69.67000000000007,28.271999999999935,,0.007553002860961611,,,28.271999999999935,,-83.11899999999997,-17.391999999999996,,-0.04305131651579397,,,-17.391999999999996,
2020-03-04,4241.507,5.025,381.302,4236.482,3855.1799999999994,86.45799999999963,110.71999999999935,,0.029569016627230438,,,110.71999999999935,,-6.312999999999988,-19.70799999999997,,-0.04914590658587059,,,-19.70799999999997,
2020-03-05,4241.507,0.85,379.451,4240.656999999999,3861.2059999999997,81.00799999999981,129.46699999999964,,0.034693476687410296,,,129.46699999999964,,1.2870000000000346,-38.327999999999975,,-0.09174228479650715,,,-38.327999999999975,
2020-03-06,4241.507,2.93,375.464,4238.576999999999,3863.113,63.914000000000215,117.10299999999961,,0.03126072808134506,,,117.10299999999961,,18.213000000000022,-41.12099999999998,,-0.09870974711043357,,,-41.12099999999998,
